X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1840088.3015,5604402.852,178,Taihape,ChargeNet NZ,ChargeNet NZ,"12 Huia St, Taihape 4720, NZ",True,1,False,Unlimited,False,-39.676483,175.799291,DC,2018/08/27 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1740096.1449,5597235.6807,179,Waverley,ChargeNet NZ,ChargeNet NZ,"Chester Street, Waverley 4510, New Zealand",True,1,False,Unlimited,False,-39.763289,174.63557,DC,2019/12/19 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1838680.9535,5589637.6646,180,Mangaweka,ChargeNet NZ,ChargeNet NZ,"6336b Mangawharariki Road, Mangaweka 4797, New Zealand",True,1,False,Unlimited,False,-39.809757,175.788255,DC,2016/12/21 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True
1774365.0102,5578485.1245,181,Whanganui,ChargeNet NZ,ChargeNet NZ,"374 Victoria Ave, Whanganui 4500, New Zealand",True,1,False,Unlimited,False,-39.9258,175.040425,DC,2020/12/08 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1774322.0689,5578465.6714,182,Whanganui,ChargeNet NZ,ChargeNet NZ,"167 Glasgow St, Whanganui 4500, New Zealand",True,1,False,Unlimited,False,-39.925984,175.039928,DC,2018/07/25 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1}",True
1903546.5885,5566840.2217,183,Waipukurau,ChargeNet NZ,Centralines Ltd,"34 Russell St, Waipukurau 4200, New Zealand",True,1,False,Unlimited,False,-39.994101,176.555381,DC,2016/09/28 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1}",True
1802915.7692,5561083.1256,184,Marton,ChargeNet NZ,ChargeNet NZ,"427 Wellington Rd, Marton 4710, New Zealand",True,1,False,Unlimited,False,-40.076095,175.37971,DC,2021/01/21 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1803198.6643,5550149.7205,185,Bulls,ChargeNet NZ,ChargeNet NZ,"7 Criterion Street, Bulls 4818, New Zealand",True,1,False,Unlimited,False,-40.174447,175.386466,DC,2019/10/04 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1863740.9875,5544372.7753,186,Dannevirke,ChargeNet NZ,ChargeNet NZ,"Gordon Street Carpark, Dannevirke 4930, New Zealand",True,1,False,Unlimited,False,-40.20959,176.099002,DC,2017/12/20 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1818610.7525,5543756.7859,187,Feilding,ChargeNet NZ,ChargeNet NZ,"42 Aorangi St, Feilding 4702, New Zealand",True,1,False,Unlimited,False,-40.228115,175.56948,DC,2019/06/21 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
